class,timing_ns
baseline,11340.064504813688
baseline,11260.064049753273
baseline,11360.064618578792
baseline,11430.065016756653
baseline,11470.065244286861
baseline,11420.064959874102
baseline,11430.065016756653
baseline,11300.06427728348
baseline,11230.063879105619
baseline,11260.064049753273
baseline,11190.063651575412
baseline,11160.063480927756
baseline,11200.063708457963
baseline,11280.064163518377
baseline,11320.064391048585
baseline,11240.06393598817
baseline,11120.06325339755
baseline,11160.063480927756
baseline,11150.063424045204
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11170.063537810309
baseline,11220.063822223066
baseline,11260.064049753273
baseline,11370.064675461343
baseline,11400.064846108999
baseline,11370.064675461343
baseline,11320.064391048585
baseline,11450.065130521758
baseline,11530.065585582171
baseline,11560.065756229826
baseline,11680.066438820448
baseline,11550.065699347275
baseline,11590.065926877482
baseline,11210.063765340516
baseline,11110.063196514997
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11100.063139632446
baseline,11110.063196514997
baseline,17320.098520579635
baseline,11130.0633102801
baseline,11100.063139632446
baseline,11130.0633102801
baseline,11140.063367162653
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11130.0633102801
baseline,11190.063651575412
baseline,11240.06393598817
baseline,11310.064334166032
baseline,11300.06427728348
baseline,11090.063082749894
baseline,11370.064675461343
baseline,11310.064334166032
baseline,11320.064391048585
baseline,11530.065585582171
baseline,11660.066325055344
baseline,11430.065016756653
baseline,11250.063992870722
baseline,11290.06422040093
baseline,11280.064163518377
baseline,11330.064447931136
baseline,11330.064447931136
baseline,11340.064504813688
baseline,11380.064732343895
baseline,11420.064959874102
baseline,11480.065301169412
baseline,11530.065585582171
baseline,11510.065471817068
baseline,11470.065244286861
baseline,11540.065642464722
baseline,11430.065016756653
baseline,11380.064732343895
baseline,11360.064618578792
baseline,11420.064959874102
baseline,11360.064618578792
baseline,11480.065301169412
baseline,11530.065585582171
baseline,11560.065756229826
baseline,11370.064675461343
baseline,11410.06490299155
baseline,11500.065414934516
baseline,11600.065983760034
baseline,11500.065414934516
baseline,11420.064959874102
baseline,11350.06456169624
baseline,11380.064732343895
baseline,11350.06456169624
baseline,11340.064504813688
baseline,11400.064846108999
baseline,11320.064391048585
baseline,11330.064447931136
baseline,11330.064447931136
baseline,11310.064334166032
baseline,11330.064447931136
baseline,11330.064447931136
baseline,11310.064334166032
baseline,11300.06427728348
baseline,11330.064447931136
baseline,11350.06456169624
baseline,11280.064163518377
baseline,11380.064732343895
baseline,11240.06393598817
baseline,11210.063765340516
baseline,11220.063822223066
baseline,11200.063708457963
baseline,11200.063708457963
baseline,11220.063822223066
baseline,11230.063879105619
baseline,11220.063822223066
baseline,11180.06359469286
baseline,11250.063992870722
baseline,11200.063708457963
baseline,11250.063992870722
baseline,11170.063537810309
baseline,13150.074800555554
baseline,11310.064334166032
baseline,11320.064391048585
baseline,11220.063822223066
baseline,11220.063822223066
baseline,11190.063651575412
baseline,11190.063651575412
baseline,11200.063708457963
baseline,11200.063708457963
baseline,11180.06359469286
baseline,11260.064049753273
baseline,11210.063765340516
baseline,11190.063651575412
baseline,17750.10096652936
baseline,11210.063765340516
baseline,11230.063879105619
baseline,11220.063822223066
baseline,11220.063822223066
baseline,11190.063651575412
baseline,11210.063765340516
baseline,11160.063480927756
baseline,11190.063651575412
baseline,11180.06359469286
baseline,11210.063765340516
baseline,11170.063537810309
baseline,11160.063480927756
baseline,11170.063537810309
baseline,11160.063480927756
baseline,11250.063992870722
baseline,11180.06359469286
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11130.0633102801
baseline,11100.063139632446
baseline,11110.063196514997
baseline,11120.06325339755
baseline,11100.063139632446
baseline,11110.063196514997
baseline,11110.063196514997
baseline,11120.06325339755
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11020.062684572033
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11010.06262768948
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11040.062798337136
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11030.062741454583
baseline,11030.062741454583
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11100.063139632446
baseline,11160.063480927756
baseline,11170.063537810309
baseline,11180.06359469286
baseline,11260.064049753273
baseline,11250.063992870722
baseline,11260.064049753273
baseline,11240.06393598817
baseline,11260.064049753273
baseline,11280.064163518377
baseline,11250.063992870722
baseline,11180.06359469286
baseline,11220.063822223066
baseline,11190.063651575412
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11080.063025867343
baseline,15690.0892487237
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11040.062798337136
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11110.063196514997
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11110.063196514997
baseline,11110.063196514997
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11120.06325339755
baseline,11070.06296898479
baseline,11050.062855219687
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11060.06291210224
baseline,16290.092661676805
baseline,11060.06291210224
baseline,11110.063196514997
baseline,11120.06325339755
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11060.06291210224
baseline,11030.062741454583
baseline,11060.06291210224
baseline,11120.06325339755
baseline,11070.06296898479
baseline,11140.063367162653
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11040.062798337136
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11040.062798337136
baseline,11130.0633102801
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11120.06325339755
baseline,11130.0633102801
baseline,11050.062855219687
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11270.064106635826
baseline,11160.063480927756
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11150.063424045204
baseline,11120.06325339755
baseline,11140.063367162653
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11060.06291210224
baseline,11130.0633102801
baseline,11120.06325339755
baseline,11120.06325339755
baseline,11160.063480927756
baseline,11120.06325339755
baseline,11050.062855219687
baseline,11140.063367162653
baseline,11080.063025867343
baseline,11120.06325339755
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11090.063082749894
baseline,11060.06291210224
baseline,11060.06291210224
baseline,11040.062798337136
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11040.062798337136
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11100.063139632446
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11040.062798337136
baseline,11050.062855219687
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11120.06325339755
baseline,11090.063082749894
baseline,11100.063139632446
baseline,11090.063082749894
baseline,15470.087997307563
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11120.06325339755
baseline,11100.063139632446
baseline,11100.063139632446
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11100.063139632446
baseline,11100.063139632446
baseline,11110.063196514997
baseline,11060.06291210224
baseline,11110.063196514997
baseline,11090.063082749894
baseline,11070.06296898479
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11050.062855219687
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11090.063082749894
baseline,11090.063082749894
baseline,11100.063139632446
baseline,11140.063367162653
baseline,11110.063196514997
baseline,11150.063424045204
baseline,11090.063082749894
baseline,11110.063196514997
baseline,11170.063537810309
baseline,11150.063424045204
baseline,11120.06325339755
baseline,11090.063082749894
baseline,11120.06325339755
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11070.06296898479
baseline,11130.0633102801
baseline,11160.063480927756
baseline,11120.06325339755
baseline,11120.06325339755
baseline,11130.0633102801
baseline,11120.06325339755
baseline,11160.063480927756
baseline,11100.063139632446
baseline,11090.063082749894
baseline,11160.063480927756
baseline,11140.063367162653
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11150.063424045204
baseline,11130.0633102801
baseline,11070.06296898479
baseline,11120.06325339755
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11100.063139632446
baseline,11120.06325339755
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11110.063196514997
baseline,11080.063025867343
baseline,11130.0633102801
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11080.063025867343
baseline,11070.06296898479
baseline,11060.06291210224
baseline,11030.062741454583
baseline,11080.063025867343
baseline,11050.062855219687
baseline,11060.06291210224
baseline,11070.06296898479
baseline,11110.063196514997
baseline,11140.063367162653
baseline,11080.063025867343
baseline,11210.063765340516
baseline,11170.063537810309
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11080.063025867343
baseline,11090.063082749894
baseline,11080.063025867343
baseline,11070.06296898479
